HS Code,Description,Possible Vendor Matches,Semantic Vendor Matches,All Vendor Matches
40900,Code not found,,,
71390,Code not found,,,
121190,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), USED PRIMARILY IN PERFUMERY, PHARMACY OR FOR INSECTICIDES, ETC., FRESH OR DRIED, ETC., NESOI",,,
151530,"CASTOR OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED",1515300000,"1515300000, 1515500000","1515300000, 1515500000"
151550,"SEASAME OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED",1515500000,"1515300000, 1515500000, 1515908190","1515500000, 1515300000, 1515908190"
151590,"FIXED VEGETABLE FATS AND OILS AND THEIR FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED, NESOI",1515908190,"1515908190, 3301905000","1515908190, 3301905000"
210690,FOOD PREPARATIONS NESOI,2106909998,2106909998,2106909998
271210,PETROLEUM JELLY,,,
330510,SHAMPOOS FOR HAIR,3305100000,"3305900000, 3305100000","3305100000, 3305900000"
330610,DENTIFRICES,,,
330730,PERFUMED BATH SALTS AND OTHER BATH PREPARATIONS,"3307410000, 3307490000",3304910050,"3307410000, 3307490000, 3304910050"
330741,AGARBATTI AND OTHER ODORIFEROUS PREPARATIONS WHICH OPERATE BY BURNING,3307410000,"3307410000, 3304995000","3307410000, 3304995000"
340119,"SOAP AND ORGANIC SURFACE-ACTIVE PRODUCTS IN BARS OR OTHER SHAPES AND PAPER, WADDING ETC. CONTAINING SOAP OR DETERGENT, FOR OTHER THAN TOILET USE","3401305000, 3401115000","3401115000, 3401305000, 1404909090","3401305000, 3401115000, 1404909090"
392020,"PLATES, SHEETS, FILM, FOIL AND STRIP OF PLASTICS, NOT SELF-ADHESIVE, NON-CELLULAR, NOT REINFORCED OR LAMINATED ETC., OF POLYMERS OF PROPYLENE",,3926909989,3926909989
392490,"HOUSEHOLD ARTICLES NESOI (OTHER THAN TABLEWARE AND KITCHENWARE) AND TOILET ARTICLES, OF PLASTICS",,3926909989,3926909989
420292,"CONTAINER BAGS, BOXES, CASES AND SATCHELS NESOI, WITH OUTER SURFACE OF SHEETING OF PLASTICS OR OF TEXTILE MATERIALS","4202923131, 4202922000, 4202929336, 4202921500","4202929336, 4202921500","4202923131, 4202922000, 4202929336, 4202921500"
441400,Code not found,,,
441990,"TABLEWARE AND KITCHENWARE, OF WOOD, NESOI",,4421999880,4421999880
482010,"REGISTERS, ACCOUNT BOOKS, NOTEBOOKS, ORDER BOOKS, RECEIPT BOOKS, LETTER PADS, MEMORANDUM PADS, DIARIES AND SIMILAR ARTICLES OF PAPER OR PAPERBOARD",4820102020,"4820102020, 4901100040","4820102020, 4901100040"
490110,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, IN SINGLE SHEETS, WHETHER OR NOT FOLDED",4901100040,"4901100040, 4911100080","4901100040, 4911100080"
560121,"WADDING AND ARTICLES OF WADDING NESOI, OF COTTON",,,
570500,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS (WHETHER OR NOT MADE-UP), NESOI",,4202929336,4202929336
610910,"T-SHIRTS, SINGLETS, TANK TOPS AND SIMILAR GARMENTS OF COTTON, KNITTED OR CROCHETED",6109100004,"6206303045, 6205202067","6109100004, 6206303045, 6205202067"
611420,"GARMENTS NESOI, OF COTTON, KNITTED OR CROCHETED",,"6205202067, 6204628066, 6204628018","6205202067, 6204628066, 6204628018"
611710,"SHAWLS, SCARVES, MUFFLERS, MANTILLAS, VEILS AND THE LIKE, KNITTED OR CROCHETED",6117104000,"6214900010, 6117104000","6117104000, 6214900010"
620342,"MEN'S OR BOYS' TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS OF COTTON, NOT KNITTED OR CROCHETED",6203424518,6203424518,6203424518
620462,"WOMEN'S OR GIRLS' TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS OF COTTON, NOT KNITTED OR CROCHETED","6204628031, 6204628018, 6204628056, 6204628066","6104621020, 6204628018","6204628031, 6204628018, 6204628056, 6204628066, 6104621020"
620520,"MEN'S OR BOYS' SHIRTS OF COTTON, NOT KNITTED OR CROCHETED",6205202067,"6205202067, 6211329081","6205202067, 6211329081"
620630,"WOMEN'S OR GIRLS' BLOUSES, SHIRTS AND SHIRT-BLOUSES OF COTTON, NOT KNITTED OR CROCHETED","6206303045, 6206303043",6206303045,"6206303045, 6206303043"
650500,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (BUT NOT IN STRIPS); HAIRNETS",6505003090,6505003090,6505003090
711311,"JEWELRY AND PARTS THEREOF, OF SILVER",7113111000,"7115904000, 7113195090, 7117199000","7113111000, 7115904000, 7113195090, 7117199000"
711719,"IMITATION JEWELRY NESOI, OF BASE METAL, WHETHER OR NOT PLATED WITH PRECIOUS METAL",7117199000,"7117199000, 8205517500","7117199000, 8205517500"
711790,IMITATION JEWELRY NESOI (NOT OF BASE METAL),7117903000,"7117199000, 8205517500","7117903000, 7117199000, 8205517500"
732690,"ARTICLES OF IRON OR STEEL, NESOI",7326908688,"7326908688, 7323999080","7326908688, 7323999080"
741999,Code not found,,,
850519,"PERMANENT MAGNETS AND ARTICLES INTENDED TO BECOME PERMANENT MAGNETS AFTER MAGNETIZATION, MADE OF MATERIALS OTHER THAN METAL",,,
852351,SOLID-STATE NON-VOLATILE SEMICONDUCTOR STORAGE DEVICES,8523510000,8523510000,8523510000
940180,"SEATS OTHER THAN OF METAL OR WOODEN FRAMES, NESOI",,"9403608081, 9404909670, 3925200010","9403608081, 9404909670, 3925200010"
940490,"OTHER ARTICLES OF BEDDING AND SIMILAR FURNISHINGS (EXCEPT MATTRESSES AND SLEEPING BAGS), FITTED OR STUFFED ETC., INCLUDING PILLOWS AND CUSHIONS","9404909670, 9404901090",9404901090,"9404909670, 9404901090"
