Tariff,Goods Description,Official Description
3307490000,AIR SCENT,"PREPARATIONS FOR PERFUMING/DEODERIZING ROOMS, INCLUDING ODERIFEROUS PREPARATIONS USED DURING RELIGIOUS RITES"
9405504000,ARECA LAMP,NON-ELECTRIC LAMPS AND LIGHTING FITTINGS EXCEPT OF BRASS
4601999000,ARECA LEAF PLATE,"PLAITS AND SIMILAR PRODUCTS OF PLAITING MATERIALS (EXCEPT VEGETALBE MATERIALS), NESOI"
3926909985,AUTO HANGER,"ARTICLES OF PLASTICS AND ARTICLES OF OTHER MATERIALS OF HEADINGS 3901 TO 3914, NESOI"
3926909985,AUTO THING,"ARTICLES OF PLASTICS AND ARTICLES OF OTHER MATERIALS OF HEADINGS 3901 TO 3914, NESOI"
9404909670,BACK REST,"ARTICLES OF BEDDING AND SIMILAR FURNISHING, NESOI"
4202921500,BAG,"TRAVEL,SPORTS AND SIMILAR BAGS,OUTER SURFACE OF COTTON"
4202929336,BAG,"OTHER BAGS,WITH OUTER SURFACE OF TEXTILE MATERIALS,NESOI"
4202921500,BAGS,"TRAVEL,SPORTS AND SIMILAR BAGS,OUTER SURFACE OF COTTON"
3304995000,BALM,"BEAUTY/MAKE-UP PREPARATIONS & PREPARATIONS FOR THE CARE OF THE SKIN (OTHER THAN MEDICAMENTS), INCLUDING SUNSCREEN OR SUN TAN PREPARATIONS, NESOI"
3401115000,BAR SOAP,"SOAP AND OTHER ORGANIC SURFACE-ACTIVE PRODUCTS,FOR TOILET USE,IN BARS,CAKES, MOLDED PIECES,AND PAPER,ETC IMPREGNATED OR COATED WITH SOAP OR DETERGENT"
4602110900,BASKETS,"BASKETS AND BAGS OF BAMBOO, EXCLUDING WICKERWORK"
3304910050,BATH POWDER,"BEAUTY OR MAKE-UP POWDER, WHETHER OR NOT COMPRESSED, NESOI"
7117903000,BEADS,RELIGIOUS ARTICLES NESOI TO BE WORN OR CARRIED ON THE PERSON
